word,n
mention,9
librarian,2
saying,16
acquisitions,3
catalogued,2
obvi,3
ous,14
interviewer,2
organiza,27
published,46
match,30
wish,38
reveal,39
theoretical,2
reluctant,18
bear,2
mind,48
minded,7
preconceived,2
willing,30
listen,10
comes,34
surprising,3
prompt,14
spring,4
board,19
proposal,21
proto,4
unlikely,33
observations,15
apart,23
liable,4
miss,11
conjunction,30
isolation,21
proper,41
observational,2
opera,17
cesses,29
immerses,2
himself,4
herself,3
observed,18
participants,19
noticed,2
observer,21
workgroup,3
someone,42
absent,2
mentioned,13
integral,12
suchman,3
pioneered,3
richer,7
assumed,22
automation,48
differ,46
ence,11
crabtree,3
studies,40
investigated,4
integrating,47
linking,22
viller,2
cooperative,15
martin,20
ought,4
prac,20
tice,7
traffic,46
controllers,15
switch,30
alert,12
detects,11
flight,40
though,45
sensitive,29
audible,12
warnings,4
planes,3
prefer,24
cooperation,7
awareness,18
activi,12
ties,27
predict,49
entering,17
trol,17
sector,6
workload,5
atc,5
adjacent,8
sectors,2
combined,45
informs,7
fewer,47
refinement,23
cycles,27
cussed,11
ethnographer,2
innovation,23
nokia,8
phones,17
apple,12
ignored,10
revolutionized,2
iphone,8
ethnographic,4
broader,42
suggestion,5
innovations,5
telling,6
imagine,12
capturing,10
essentially,39
narrative,31
setting,46
ﬁbig,5
picture,43
ilearn,32
elementary,5
teacher,7
student,42
fishing,6
facilitate,41
act,46
advantage,42
wider,17
realistically,5
invited,5
teachers,15
students,43
country,17
sessions,4
elicit,9
outline,29
resulting,44
handled,46
happens,32
uploads,5
photos,21
kidstakepics,5
explained,33
dif,23
ference,2
uploaded,12
suitable,35
propose,27
achieving,28
scotland,3
decided,21
pupils,4
gather,12
archives,6
photographs,6
communities,3
newspaper,5
jack,3
photo,26
upload,8
scans,4
families,14
sends,35
email,23
rec,9
ommend,2
reply,10
moderate,7
setup,18
log,50
cybersecurity,16
resilient,28
landscape,9
unambiguous,20
inherent,36
supplemented,7
tables,48
notations,31
summarizes,15
understandable,34
intuitive,21
uploading,3
assumption,34
saved,7
tablet,14
laptop,15
successfully,50
logged,13
chooses,12
prompted,5
option,36
inputting,3
keywords,11
filename,3
moderator,7
asking,18
administrator,12
informed,14
delay,23
rename,2
cancel,8
overwritten,5
approve,6
moderation,4
neither,15
nor,39
desirable,18
exclude,2
did,39
archi,43
tecture,21
interoperate,18
impose,8
satisfy,44
expressive,14
universal,31
potentially,49
vague,6
ambiguous,15
background,33
numbered,4
sentences,5
sentence,8
languagethe,2
field,12
annotations,3
finite,10
ambiguity,22
accept,47
proposals,23
none,24
adopted,47
misunderstandings,13
recommend,16
invent,3
adhere,6
wherever,17
mandatory,9
ﬁshall,9
highlighting,7
bold,4
italic,2
pick,30
acronyms,2
whom,8
consult,2
undesirable,17
downloaded,17
maintains,41
expressiveness,2
understandability,22
blood,34
sugar,39
minutes,32
slow,39
frequent,31
unnecessary,38
unnecessarily,5
routine,9
minute,20
flexibility,19
unclear,14
misinterpret,4
structuring,12
ensures,31
uniformity,4
templates,25
alternatives,41
light,35
shading,2
fonts,4
robertson,9
volere,3
initially,23
fields,5
supporting,32
materials,30
struc,37
manipulated,16
calculate,23
band,5
fol,19
lowing,15
origin,11
destination,5
ﬁrequiresﬂ,23
precondition,19
postcondition,20
removes,7
variability,15
proceed,36
bases,6
rates,24
previ,4
tabular,14
falling,4
compdose,8
decreasing,4
rounded,16
srs,14
computes,10
zone,6
reading,47
loop,46
zero,33
dividing,8
reservoir,4
replaced,44
objectory,3
jacobsen,7
simplest,26
textual,34
charts,29
repre,34
sented,19
stick,22
figures,16
ellipse,12
optionally,5
arrowheads,3
initiated,30
linked,33
consultation,16
offices,5
doctor,21
initiates,13
consul,2
tation,25
choosing,38
menu,40
displayed,47
screens,15
initiating,11
edit,22
chat,2
export,8
voice,41
communi,17
arranged,8
fine,12
grained,4
discussing,8
fur,2
ther,4
alongside,12
stevens,10
pooley,3
introductory,10
outsourced,5
rapidly,35
soon,26
largely,17
wasted,7
incremen,5
tally,2
prioritizes,7
unstable,9
forget,22
focusing,34
ranging,11
senior,45
testers,42
anticipated,24
restrictive,3
outsourcing,31
specifica,10
ambiguities,6
resolved,16
predicted,27
infor,44
mation,49
maintainers,2
briefly,10
fits,4
strategic,27
overview,47
highlighted,7
minimal,26
optimal,10
configurations,7
alphabetic,3
doc,16
ument,2
judgment,35
overlaps,4
critically,9
rework,48
fixing,8
repairing,7
retested,4
validity,19
realism,3
checked,48
verifiability,2
tor,6
demonstrate,39
u,32
department,40
defense,28
nevertheless,9
institute,49
electrical,27
electronic,38
providers,39
military,36
restful,46
reductionism,13
individually,27
systematically,13
reviewers,25
expec,2
experiment,18
feed,26
testable,12
devised,8
reveals,7
underestimate,4
ultimately,40
fit,27
skilled,10
professionals,17
harder,27
cor,17
rect,14
agreement,20
reached,26
rittel,4
webber,4
bound,34
anomalies,18
negotiate,20
identi,15
fied,12
solved,41
incomplete,41
standing,17
constantly,13
regularly,23
inevita,3
bly,3
partly,7
corrected,41
installation,39
updated,50
priorities,37
consequent,6
compliance,28
pay,45
budgetary,6
tory,3
prioritized,11
evolving,45
cope,48
proposes,9
prioritize,16
dropped,6
necessarily,37
benefit,22
accepted,42
cross,47
referenced,12
traceability,31
assessments,14
policy,42
amounts,10
specialist,16
spreadsheets,3
aged,7
enduring,6
volatile,11
susceptible,5
asso,15
ciated,14
responses,35
suggestions,14
relation,27
ships,15
sup,17
port,11
doors,38
menting,6
treated,24
principal,36
fed,6
requestor,5
withdraw,21
costing,8
mentation,25
rewriting,3
reorganization,5
changeability,8
minimizing,7
modular,17
affecting,17
urgently,3
circum,3
stances,4
emergency,30
impor,11
tant,7
revised,23
ƒ,40
presenting,14
clarify,7
holder,9
strengths,17
weaknesses,31
brambilla,3
cabot,3
wimmer,3
partial,19
implementa,13
purposely,5
leaves,18
studied,7
picks,3
salient,3
powerpoint,5
slides,5
accompany,2
translated,22
english,9
translator,9
intention,9
perspectives,25
responds,27
teamwork,10
pricing,14
glossary,11
author,45
flexible,21
rigidly,2
rigor,12
intend,21
stimulate,5
ambler,28
jeffries,8
accurate,43
generating,18
careful,28
confuse,10
symbols,14
arrow,43
heads,6
meanings,4
rumbaugh,24
jacobson,34
booch,50
mod,28
eling,7
survey,13
erickson,7
siau,2
showed,7
essentials,10
concentrate,11
emerged,15
revision,10
finalized,2
uni,7
variants,35
associa,3
reacts,8
manual,44
replacing,18
computerized,2
constitutes,3
attending,3
oping,4
exclusively,9
sonal,7
relying,2
disadvantage,4
slower,6
unavailable,35
configurable,16
young,22
adults,4
position,35
nontechnical,11
positioned,8
increased,46
division,13
producing,17
shares,16
hospital,20
statistics,7
collects,16
prescription,17
medication,25
auto,21
mated,10
consume,9
physically,34
co,31
located,37
buildings,22
admissionssystem,2
police,12
dangerous,22
involuntary,3
relations,10
detention,6
suffering,6
danger,11
detained,2
administered,7
sub,24
ject,21
strict,6
legal,32
held,22
indefinitely,3
safeguards,8
mented,16
rights,15
respected,10
indicated,41
filled,10
circle,29
rectangles,15
corners,6
subprocesses,8
ferent,12
detection,42
arrows,36
bar,32
coordination,43
exe,18
cuted,7
inform,15
kin,3
register,30
annotated,9
guards,7
square,14
brackets,17
ety,2
facility,18
suicidal,3
ward,10
kept,24
highlights,12
mostly,34
agents,7
ponents,24
ivar,14
expects,17
said,34
discrete,22
notice,30
transferring,8
oped,30
formally,38
direction,48
directions,15
receptionist,20
transferred,16
dataﬂ,3
dataactorsmedical,2
prs,14
descriptiona,2
diagnosis,8
summarystimulususer,2
issued,23
receptionistresponseconfirmation,2
updatedcommentsthe,2
permissions,9
ﬁmedical,2
receptionistﬂ,2
accompanied,3
diffi,6
primarily,47
selves,6
rich,17
possibilities,10
basics,16
dotted,3
vertically,6
rectangle,31
lifeline,14
denote,12
alt,4
medicalreceptionistregister,2
patienttransfer,2
contactpatientview,2
unregister,2
involving,31
options,50
sepa,48
rated,17
triggers,17
viewinfo,2
patientinfo,3
supplying,5
identifier,29
pid,16
uid,9
authorization,19
ized,15
returned,28
denoted,4
ﬁaltﬂ,2
corner,10
choice,39
indicating,35
selects,33
hold,37
authorize,2
db,4
ok,16
logs,11
okmessage,2
summarize,21
tf,2
delayed,20
executing,35
topic,50
dia,11
grams,10
loosely,25
aim,41
semester,2
introduces,28
undergoing,4
portable,6
waterfall,40
supplements,5
implemen,13
existence,30
drawing,31
multiplicities,5
exact,10
indefinite,3
suffer,20
hull,5
king,3
seman,3
tic,6
simplified,22
rela,18
moved,15
extending,17
middle,19
prescribe,17
animals,2
cars,6
houses,15
characteris,11
tics,13
classifying,6
rats,4
rodents,2
teeth,2
illus,7
trated,3
arrowhead,16
pointing,20
generalized,17
supervised,2
trainee,2
consultant,5
registered,16
consultants,5
subclasses,29
inherit,25
superclasses,3
tors,14
pager,2
pack,6
quizzes,3
ommendations,2
trate,4
diamond,11
shape,34
aggregate,22
execut,7
supposed,14
happen,40
stimulus,48
exter,5
billing,9
bill,15
cessing,17
switching,11
dial,3
tone,5
pressing,6
keys,13
handset,3
responding,9
dfds,6
diagramsdata,2
transformation,31
filtering,4
duplicate,17
transformed,20
transformations,23
analysts,10
validating,15
chain,18
flowing,2
sending,29
supplier,36
whereas,41
nonexperts,2
seem,26
purchase,20
save,31
valve,7
ﬁvalve,4
openﬂ,2
closedﬂ,2
received,42
extensively,6
statecharts,8
harel,6
microwave,13
oven,26
half,36
numeric,15
keypad,16
cooking,14
stop,38
button,29
alphanumeric,2
po,7
disabled,8
waiting,38
timer,13
buzzer,5
door,50
food,10
cooked,2
sounded,4
alerts,11
warning,29
labeled,33
circles,3
minds,7
selecting,40
enabled,12
pushing,8
returns,36
hide,20
notion,47
encapsulates,20
superstate,2
substates,49
generator,14
opened,6
mally,9
mde,12
whereby,5
powerthe,4
watts,7
interior,24
ﬁnot,3
ﬁready,2
cook,5
sounding,2
pressed,10
buttons,22
proponents,14
raises,6
mda,25
omg,33
mellor,5
scott,13
weise,3
blog,11
den,6
haan,3
stahl,4
voelter,2
subset,49
intervention,10
recommends,12
cim,8
cims,3
secu,11
rity,13
asset,49
pim,7
pims,3
editions,12
remaining,19
tance,5
pat,18
terns,12
host,25
psm,9
psms,4
speeds,18
powerful,31
implementations,18
plat,6
hosted,5
automatic,23
transfor,3
designated,9
translation,24
possi,8
ble,28
remains,39
mapped,12
onto,26
mapping,49
simpler,33
commercial,41
koegel,2
avail,29
translators,3
ee,12
convert,16
offer,45
translating,8
effectiveness,50
believe,46
stream,26
facilitating,9
gains,17
arguments,50
independence,39
obsolete,18
linux,15
savings,18
outweighed,2
widespread,22
adoption,15
diverted,4
away,37
tive,42
formalized,8
hutchinson,3
rouncefield,2
whittle,2
industrial,37
confirms,3
successes,5
mixed,9
adopting,8
led,33
improvements,40
front,23
contradicts,3
manifesto,17
suspect,11
comfortable,10
pioneer,4
considers,25
impractical,30
zhang,9
patel,3
motorola,2
umlthe,2
behind,35
compiled,18
xuml,4
balcer,2
communicating,30
packing,4
robot,35
robotic,4
vision,43
conveyor,3
packaging,17
packaged,16
places,33
overlap,14
ideal,35
gram,30
decomposed,30
prise,2
owned,29
affects,20
robust,16
bosch,9
dominant,22
chen,5
ali,3
babar,3
nuseibeh,2
firmed,2
bass,16
clements,14
kazman,11
advantages,29
profound,26
compact,4
manageable,19
boxes,28
subcomponents,2
handbook,29
disciplines,24
readily,21
spite,6
claim,37
nents,49
externally,30
apparent,16
contradictions,3
theory,49
encouraging,7
cluttered,3
assigning,8
connections,46
argument,50
peo,11
experts,29
rigorous,24
misunderstanding,6
consuming,27
practically,27
creative,28
formulaic,4
profoundly,4
fundamen,4
tal,10
mon,15
distrib,8
uted,8
delivering,29
garlan,16
shaw,16
layered,44
frequently,40
decompose,21
decomposing,7
localize,4
finer,4
grain,11
replicated,14
architec,45
protected,37
innermost,6
lay,24
safely,9
shut,15
redundant,30
replace,32
stopping,2
producers,6
separated,11
consumers,8
avoided,31
satisfying,8
evaluating,24
comparing,10
opinions,12
krutchen,7
acting,9
judgments,5
breakdown,18
hofmeister,5
nord,4
soni,3
specifi,3
differing,7
lange,3
chaudron,2
muskens,2
authors,19
argued,22
bad,49
disagree,4
ful,6
quicker,3
eas,8
ily,6
whiteboard,10
researchers,14
adls,11
connectors,5
formed,44
mainstream,10
unused,21
waste,10
money,39
perspec,2
tives,5
worry,16
reusing,29
publication,15
gamma,17
coplien,4
harrison,7
berczuk,3
appleton,6
volume,40
handbooks,2
buschmann,15
schmidt,15
henney,3
kircher,3
jain,3
ard,3
mvc,24
manages,42
nent,33
presses,2
mouse,18
clicks,8
examplefigure,4
usedused,3
unknown,22
advantagesallows,2
vice,29
versa,10
controllerview,2
updates,24
refer,28
stylized,7
tried,10
appro,12
priate,13
disadvantages,10
notions,11
localized,10
separates,4
allowing,49
relies,25
beneath,2
availa,8
changeable,4
unchanged,14
multi,43
reimplemented,2
lowest,15
utility,15
facili,3
arbitrary,14
split,12
subjects,3
schools,9
multilevel,3
replacement,27
clean,12
below,36
utilities,10
os,16
authenticationbrowser,2
servicesgroupmanagementapplicationmanagementidentitymanagementuser,2
storagelogging,2
storageinterfacing,2
searchutility,2
servicesapplication,2
servicesilearn,2
appemail,2
messaging,34
conferencing,5
archive,10
simulation,21
finder,2
spreadsheet,14
systemfigure,3
central,44
ide,13
volumes,7
inclusion,22
propagated,7
backups,9
disadvantagesthe,2
inefficiencies,2
distributing,7
functioning,12
government,33
international,49
businesses,36
institutions,5
infrastructures,6
manufacturing,41
financial,26
entertainment,10
music,26
games,21
film,11
television,6
population,12
intangible,8
constrained,21
prop,11
governed,6
laws,41
limits,29
extremely,30
embed,13
ded,6
worldwide,14
scientific,9
instru,3
puter,18
ﬁsoftware,4
criticized,2
inadequate,11
opinion,6
previously,26
fairly,34
evolved,28
education,48
rightly,3
proud,2
achievements,3
explored,7
tele,2
travel,36
humanity,4
st,27
century,30
climate,3
suited,23
aided,14
cad,16
keeps,15
rollback,2
efficient,36
transmit,6
agreed,32
schema,35
distribute,17
logically,14
centralized,20
copies,45
consist,11
ent,28
adds,34
overhead,34
passive,34
artificial,5
intelligence,29
ai,8
unstructured,7
activated,10
ana,6
lyzed,5
nii,3
relates,10
print,31
agement,34
compile,10
offers,30
protocols,35
tures,24
accessing,22
protocol,18
waits,14
receives,15
dvd,3
locations,29
variable,43
denial,19
unpredictable,23
photograph,22
frames,15
transmitted,19
resolution,26
compressed,3
compression,5
formats,17
pictures,5
queries,22
clips,2
sale,13
constructed,50
networked,20
rest,28
upgrade,4
pipe,18
filter,16
transform,24
transforms,19
converted,8
sequen,3
tially,3
batch,15
ﬁpipe,2
filterﬂ,2
unix,10
commands,39
pipes,9
shell,4
outﬂ,6
matic,3
batches,3
pipeline,16
appli,34
invoices,9
week,21
payments,3
reconciled,3
carries,24
matches,7
straightforward,34
parse,15
incompatible,17
reminder,3
reminders,3
paid,13
receipt,10
payment,21
ical,13
selections,2
conforms,36
hire,13
accounts,12
meter,3
bills,3
encapsulate,14
configured,22
erp,34
accounting,11
stock,17
calling,31
supply,28
suppliers,28
goods,20
contractual,7
arrangements,5
num,25
ber,33
unfamiliar,15
specialize,11
compare,24
tectures,2
assign,25
comparable,14
trying,40
centered,27
interfere,14
banking,23
booking,15
allocation,29
editing,32
gramming,16
interprets,2
compilers,17
markup,7
xml,47
lewis,8
bernstein,9
kifer,2
technically,16
atomic,25
permanent,9
satisfies,11
flights,3
bank,33
atm,37
sufficient,46
funds,8
modifying,23
withdrawn,2
cash,10
pleted,6
asynchronous,34
tectural,18
ensured,2
finished,17
query,33
cooperating,4
illustrating,6
servicefigure,2
retrieval,18
handles,16
updating,13
recall,25
consulting,13
prob,48
lems,25
import,35
generators,8
persistent,33
orders,32
arrange,10
reflects,34
multitier,2
throughput,15
thou,2
sands,2
french,4
instructions,16
expanding,9
lots,14
jobs,19
scientists,2
experi,13
purposes,37
prod,41
ucts,18
summarized,33
sites,29
websites,23
download,35
recent,38
yourself,24
conference,17
crisis,9
naur,2
randell,4
became,13
unreliable,13
hiding,33
analyzer,13
lexical,4
grammar,12
systemprogram,2
converts,10
interpreted,12
executes,28
interpreting,2
interpreter,2
dynamically,20
typed,18
ruby,8
python,10
ming,19
holds,12
builds,33
sym,3
bol,3
remove,39
dictionary,7
inte,8
grated,6
syn,3
tax,7
fragments,4
mar,21
directed,40
editor,13
formatter,3
syntactic,13
ele,17
compiler,22
phases,48
sequentially,7
compilation,16
debugger,11
reflected,9
ta,5
evaluate,44
educate,4
character,46
istics,9
š,50
merged,7
invariably,23
realizing,6
head,26
roughly,9
sketched,2
sheets,13
neces,6
sary,7
closely,35
configuring,14
sketches,8
buy,43
applica,33
tailored,17
hospitals,3
cheaper,24
faster,30
configure,13
acquire,24
master,36
learned,49
guages,5
debug,9
covered,34
vast,27
realized,30
manipulate,37
fore,23
proposing,6
refining,4
retry,2
explore,22
ignore,18
wilderness,20
stations,19
periodically,15
transfers,7
satellite,11
ˇˇthe,5
deciding,36
lets,24
complementary,21
demonstrates,14
interacts,45
onboard,2
cardinality,2
editorial,7
director,2
chief,13
michael,11
hirsch,2
assistant,3
bell,7
jeff,6
margaret,2
coordinator,2
susan,3
raymond,5
image,45
aptara,3
inc,26
illustrations,5
pearson,10
edinburgh,6
gate,2
harlow,3
cm,40
pearsonglobaleditions,3
asserted,2
him,12
copyright,9
patents,2
adaptation,34
united,20
entitled,7
isbn,8
reserved,4
reproduced,10
mechanical,14
photocopying,2
recording,12
permission,27
publisher,7
license,28
permitting,5
copying,6
licensing,14
agency,6
ltd,4
street,9
trademarks,8
herein,2
respective,36
owners,19
trademark,5
ownership,14
imply,22
endorsement,39
british,5
catalogue,2
std,11
printed,11
america,6
maintainable,21
usable,23
fundamentals,16
facing,11
coping,7
trustworthy,14
professionally,2
prototypes,31
analyzable,2
massive,2
highly,43
economics,9
guides,23
sold,15
pcs,9
gives,36
exchanged,18
saving,4
ws,21
associ,9
ated,24
ˇˇonce,2
combine,19
knowl,7
edge,28
instruments,28
ground,24
temperatures,19
pressures,7
wind,16
rainfall,4
sampled,2
intervals,14
transmission,17
frequency,19
broadcasting,3
listens,2
tural,20
picked,2
sender,16
mes,13
sage,7
transmitter,3
receiver,28
weatherdata,10
col,29
lected,6
arrangement,6
senting,4
grammatical,12
nouns,18
verbs,6
abbott,3
tangible,12
wirfs,8
brock,8
wilkerson,3
weiner,3
beck,19
cunningham,4
ini,6
tial,15
discus,10
sions,19
analyses,14
searching,14
thermometer,3
anemometer,2
barometer,3
weatherstation,16
sta,11
identifierreportweather,2
reportstatus,4
powersave,4
remotecontrol,4
reconfigure,8
shutdown,14
ident,3
autonomously,3
locally,15
instrument,12
reported,33
matically,6
thinking,40
superclass,23
bridge,18
tionships,6
grammers,2
indirect,25
organ,14
ization,9
elsewhere,21
triggered,30
groupings,4
subsys,7
enclosed,12
satcomms,8
acknowledges,3
wait,38
suspend,2
commslink,4
squared,2
satcommsrequest,2
acknowledgereportweather,2
acknowledge,4
acknowledgesend,2
acknowledgeweather,2
suspended,4
resumed,5
reconfiguration,7
transmitting,7
reportweather,3
summarizing,4
clock,13
instructed,3
signatures,12
hidden,26
inherently,15
stack,17
expose,48
declared,17
equally,30
encoded,2
christopher,8
alexander,20
pleasing,6
settings,11
accumulated,3
wisdom,13
quote,11
hillside,10
dedi,2
cated,6
huge,17
european,5
polymorphism,17
generality,7
encapsulating,3
istatus,3
dental,2
customized,19
bespoke,2
commissioned,2
rethink,2
becoming,18
increas,5
blurred,6
suit,7
sap,7
oracle,15
incorporating,8
qual,23
ously,3
responsive,5
telephone,25
gone,9
phrases,15
theories,9
meth,14
ods,14
selectively,3
displays,41
alter,11
native,6
presentations,12
concretesubject,3
inherits,15
observers,5
corresponds,15
concreteobserver,2
copy,45
knows,32
optimizations,3
enhance,28
instantiating,4
gang,6
instantiated,20
trade,35
break,50
motivation,27
applicability,18
situa,5
dataset,3
tell,27
incrementally,26
façade,2
notify,2
irrespective,17
iterator,7
possibility,22
decorator,2
implementers,10
particu,3
lar,3
algorithms,45
cies,5
advance,47
recognizing,12
certainly,18
hun,4
great,33
inexperienced,6
tailoring,3
adapting,21
haven,12
texts,3
scratch,16
pressure,49
meant,25
norm,9
cots,15
librariesfigure,2
ality,14
javamail,2
collections,19
han,10
dling,3
played,8
colors,11
devote,3
ˇˇin,2
absolutely,18
coordinated,13
overwrite,4
oth,2
er,21
ver,24
overwriting,3
submitted,18
componentversionsreleasemanagementchangeproposalssystem,2
releaseschangemanagementsystem,2
versionsversion,2
managementsystem,2
buildingfigure,2
compiling,6
fixed,20
eclipse,17
subversion,3
pilato,3
collins,3
sussman,3
fitzpatrick,3
git,12
loeliger,2
mccullough,3
gnu,7
bug,45
bugzilla,2
github,8
runs,46
platformidecompilerstesting,2
mak,9
princi,7
simulator,2
simulators,9
simulate,18
popular,26
install,14
restrictions,12
junit,8
visualization,8
analyzers,4
ides,3
specially,17
hosting,4
plug,17
tailor,10
ins,9
vogel,3
intercomponent,2
deploy,28
actuators,45
volunteers,2
partici,3
pate,2
roots,3
foundation,50
advocates,8
tary,3
recruit,5
contributor,5
fix,21
apache,3
universally,9
mysql,3
android,19
millions,9
movement,27
thousands,24
lesser,3
cheap,6
charge,10
documenta,4
repaired,22
proprietary,11
compatible,25
malicious,28
wasteful,3
responsiveness,9
utilization,6
inevitable,23
cable,3
perfection,4
ists,4
adopt,35
systematic,42
accom,15
blend,2
economically,7
redevelop,3
reliant,5
selling,9
cheaply,7
fidential,2
competitors,9
guarantee,23
sourceforge,7
handful,4
downloads,11
lose,19
freely,10
legally,3
owns,14
binding,19
laurent,2
restriction,2
licenses,5
chapman,8
gpl,6
reciprocal,2
simplistically,2
licensed,9
variant,15
publish,17
bsd,3
obliged,3
creator,3
mit,11
sell,17
secret,5
bayersdorfer,3
pathways,4
bit,49
opers,7
auditing,16
tight,21
deadlines,39
tempted,4
advice,13
attractive,12
cli,3
ents,4
combinations,28
fea,8
unwanted,8
caused,40
root,50
crashes,4
interac,8
obscure,6
accepts,10
erroneous,27
ie,8
circumstance,4
overlooked,5
edsger,4
dijkstra,14
presence,37
absence,9
barry,8
ﬁthe,2
humble,5
comm,3
doi,8
delivers,39
conformance,35
demon,6
confidence,11
ﬁfit,2
experiences,18
buggy,7
surprised,4
ieinput,2
anomalous,9
tolerate,11
outweigh,3
thorough,22
brings,5
competing,12
price,45
competitive,24
debugged,4
toler,2
ate,13
readable,10
sentation,8
inspected,5
inspect,6
inspection,43
mask,5
unexpected,46
session,17
programmed,12
speci,7
underlie,2
physics,6
elegant,7
evolu,3
plays,24
harnesses,2
portability,12
inappropriate,25
experiments,10
fagan,7
prowell,5
claimed,5
compared,36
pr,3
casestest,2
marketed,3
tester,35
compares,6
discrepancies,3
ual,7
regression,44
unfortunately,49
unanticipated,12
pairs,21
cusamano,2
selby,2
taking,47
assists,16
mal,18
posite,2
ponent,27
locating,2
routines,7
cov,2
erage,2
debuggers,4
locate,11
constant,23
shuts,5
complicated,23
inherited,16
everywhere,4
automate,14
tahchiev,4
gui,49
